i_e_op,V_cell_op
3.38E-05,1.509139343
3.39E-05,1.509148741
3.39E-05,1.50915814
3.39E-05,1.509167539
3.40E-05,1.509176938
3.40E-05,1.509186337
3.41E-05,1.509195736
3.41E-05,1.509205134
3.42E-05,1.509214533
3.42E-05,1.509223932
3.43E-05,1.509233331
3.43E-05,1.50924273
3.44E-05,1.509252129
3.44E-05,1.509261527
3.44E-05,1.509270926
3.45E-05,1.509280325
3.45E-05,1.509289724
3.46E-05,1.509299123
3.46E-05,1.509308522
3.47E-05,1.509317921
3.47E-05,1.50932732
3.48E-05,1.509336718
3.48E-05,1.509346117
3.49E-05,1.509355516
3.49E-05,1.509364915
3.50E-05,1.509374314
3.50E-05,1.509383713
3.50E-05,1.509393112
3.51E-05,1.509402511
3.51E-05,1.509411909
3.52E-05,1.509421308
3.52E-05,1.509430707
3.53E-05,1.509440106
3.53E-05,1.509449505
3.54E-05,1.509458904
3.54E-05,1.509468303
3.55E-05,1.509477702
3.55E-05,1.509487101
3.56E-05,1.5094965
3.56E-05,1.509505899
3.57E-05,1.509515297
3.57E-05,1.509524696
3.58E-05,1.509534095
3.58E-05,1.509543494
3.59E-05,1.509552893
3.59E-05,1.509562292
3.59E-05,1.509571691
3.60E-05,1.50958109
3.60E-05,1.509590489
3.61E-05,1.509599888
3.61E-05,1.509609287
3.62E-05,1.509618686
3.62E-05,1.509628085
3.63E-05,1.509637484
3.63E-05,1.509646883
3.64E-05,1.509656282
3.64E-05,1.509665681
3.65E-05,1.50967508
3.65E-05,1.509684479
3.66E-05,1.509693878
3.66E-05,1.509703276
3.67E-05,1.509712675
3.67E-05,1.509722074
3.68E-05,1.509731473
3.68E-05,1.509740872
3.69E-05,1.509750271
3.69E-05,1.50975967
3.70E-05,1.509769069
3.70E-05,1.509778468
3.71E-05,1.509787867
3.71E-05,1.509797266
3.72E-05,1.509806665
3.72E-05,1.509816064
3.73E-05,1.509825463
3.73E-05,1.509834862
3.74E-05,1.509844261
3.74E-05,1.50985366
3.75E-05,1.50986306
3.75E-05,1.509872459
3.76E-05,1.509881858
3.76E-05,1.509891257
3.77E-05,1.509900656
3.77E-05,1.509910055
3.78E-05,1.509919454
3.78E-05,1.509928853
3.79E-05,1.509938252
3.79E-05,1.509947651
3.80E-05,1.50995705
3.80E-05,1.509966449
3.81E-05,1.509975848
3.81E-05,1.509985247
3.82E-05,1.509994646
3.82E-05,1.510004045
3.83E-05,1.510013444
3.83E-05,1.510022843
3.84E-05,1.510032242
3.84E-05,1.510041641
3.85E-05,1.510051041
3.85E-05,1.51006044
3.86E-05,1.510069839
3.86E-05,1.510079238
3.87E-05,1.510088637
3.87E-05,1.510098036
3.88E-05,1.510107435
3.88E-05,1.510116834
3.89E-05,1.510126233
3.89E-05,1.510135632
3.90E-05,1.510145032
3.91E-05,1.510154431
3.91E-05,1.51016383
3.92E-05,1.510173229
3.92E-05,1.510182628
3.93E-05,1.510192027
3.93E-05,1.510201426
3.94E-05,1.510210825
3.94E-05,1.510220225
3.95E-05,1.510229624
3.95E-05,1.510239023
3.96E-05,1.510248422
3.96E-05,1.510257821
3.97E-05,1.51026722
3.97E-05,1.510276619
3.98E-05,1.510286019
3.98E-05,1.510295418
3.99E-05,1.510304817
4.00E-05,1.510314216
4.00E-05,1.510323615
4.01E-05,1.510333014
4.01E-05,1.510342413
4.02E-05,1.510351813
4.02E-05,1.510361212
4.03E-05,1.510370611
4.03E-05,1.51038001
4.04E-05,1.510389409
4.04E-05,1.510398809
4.05E-05,1.510408208
4.05E-05,1.510417607
4.06E-05,1.510427006
4.07E-05,1.510436405
4.07E-05,1.510445805
4.08E-05,1.510455204
4.08E-05,1.510464603
4.09E-05,1.510474002
4.09E-05,1.510483401
4.10E-05,1.510492801
4.10E-05,1.5105022
4.11E-05,1.510511599
4.11E-05,1.510520998
4.12E-05,1.510530398
4.13E-05,1.510539797
4.13E-05,1.510549196
4.14E-05,1.510558595
4.14E-05,1.510567994
4.15E-05,1.510577394
4.15E-05,1.510586793
4.16E-05,1.510596192
4.16E-05,1.510605591
4.17E-05,1.510614991
