i_e_op,V_cell_op
4.02E-05,1.510358641
4.02E-05,1.510368049
4.03E-05,1.510377457
4.03E-05,1.510386866
4.04E-05,1.510396274
4.04E-05,1.510405682
4.05E-05,1.510415091
4.05E-05,1.510424499
4.06E-05,1.510433907
4.07E-05,1.510443316
4.07E-05,1.510452724
4.08E-05,1.510462133
4.08E-05,1.510471541
4.09E-05,1.51048095
4.09E-05,1.510490358
4.10E-05,1.510499767
4.10E-05,1.510509175
4.11E-05,1.510518584
4.11E-05,1.510527992
4.12E-05,1.510537401
4.13E-05,1.51054681
4.13E-05,1.510556218
4.14E-05,1.510565627
4.14E-05,1.510575035
4.15E-05,1.510584444
4.15E-05,1.510593853
4.16E-05,1.510603261
4.16E-05,1.51061267
4.17E-05,1.510622079
4.18E-05,1.510631488
